Жилой дом	Большой Сампсониевский пр., 98	1931	Симонов Г. А.	30.332793119048794	59.98928723236434
Школа N 120 им. КИМа - Школа N 327	Ткачей ул., 9, Бабушкина ул., 21А	1927, 1929	Симонов Г. А.	30.4265	59.8934
Комплекс зданий Бабуринского жилмассива . Жилой корпус	Смолячкова ул., 14к1	1927, 1930	Симонов Г. А., Каценеленбоген Н. Д., Жуковская В. А.	30.3451	59.9714
Бабуринский жилмассив . Жилой корпус (двор)	Смолячкова ул., 14к3	1927, 1930	Симонов Г. А., Каценеленбоген Н. Д., Жуковская В. А.	30.3448	59.9721
Комплекс зданий Бабуринского жилмассива. Жилой корпус	Лесной пр., 34-36к4	1927, 1930	Симонов Г. А., Каценеленбоген Н. Д., Жуковская В. А.	30.346	59.973
Комплекс зданий Бабуринского жилмассива. Жилой корпус	Лесной пр., 34-36к2	1928	Симонов Г. А., Каценеленбоген Н. Д., Жуковская В. А.	30.3446	59.9732
Комплекс зданий Бабуринского жилмассива . Детский сад	Тобольская ул., 5	1927, 1930	Симонов Г. А., Каценеленбоген Н. Д., Жуковская В. А.	30.3439	59.9725
Щемиловский жилмассив. Жилой дом	Седова ул., 72	1929, 1932	Симонов Г. А., Каценеленбоген Н. Д.	30.4317	59.8781
Школа жилмассива завода "Электросила" - 	Свеаборгская ул., 2, Решетникова ул., 15	1926, 1933	Симонов Г. А.	30.3301	59.8779
Жилой дом жилмассива завода "Электросила"	Решетникова ул., 19	1929, 1930	Симонов Г. А.	30.3342	59.8783
Жилмассив завода "Электросила". Жилой дом	Благодатная ул., 57	1929, 1930	Симонов Г. А.	30.3343	59.8751
Жилой квартал Путиловского завода . Хозяйственная постройка	Тракторная ул., 12б	1925, 1927	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2795	59.8997
Жилой дом	Метростроевцев ул., 2	1925, 1927, 1960	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2819	59.9003
Жилой квартал Путиловского завода	Турбинная ул., 5	1931, 1932	Симонов Г. А.	30.2666	59.8962
Жилой квартал Путиловского завода	Турбинная ул., 9	1931, 1932	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2675	59.8953
Жилой дом	Косинова ул., 14к1	1929	Симонов Г. А.	30.273	59.8964
Жилой дом	Оборонная ул., 3	1930, 1931	Симонов Г. А.	30.2742	59.8946
Жилой дом	Косинова ул., 14к2	1929	Симонов Г. А.	30.2738004074094	59.89642695153798
Жилой дом	Оборонная ул., 7	1929	Симонов Г. А.	30.2723	59.8948
Жилмассив завода "Электросила" . Жилой дом	Решетникова ул., 17к2	1934	Симонов Г. А., Русаков М. Е., Рубаненко Б. Р.	30.3335	59.8784
Жилой рабочий квартал Путиловского завода	Тракторная ул., 12	1925, 1927	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.281314576721	59.89954013558527
Жилмассив для рабочих на Рабфаковских	1-й Рабфаковский пер., 5-11, Рабфаковская ул., 1-3	1925, 1926	Симонов Г. А., Каценеленбоген Т. Д.	30.4729	59.8572
Жилой комплекс . Дом специалистов	Парголовская ул., 4, Кантемировская ул., 25х	1934, 1937	Каценеленбоген Т. Д., Симонов Г. А., Рубаненко Б. Р.	30.3455	59.9846
Жилой дом завода "Красный Путиловец"	Тракторная ул., 15	1925, 1927, 2000	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.283	59.8997
Жилой дом завода "Красный Путиловец"	Тракторная ул., 13	1925, 1927	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2829	59.8993
Кондратьевский жилмассив . Здание яслей и детского сада	Кондратьевский пр., 40к13	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3829	59.9694
Кондратьевский жилмассив . Корпус 9	Кондратьевский пр., 40к9	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3838	59.9701
Кондратьевский жилмассив. Корпус 8	Кондратьевский пр., 40к8	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3828	59.9701
Кондратьевский жилмассив. Корпус 12	Кондратьевский пр., 40к12	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3823	59.9705
Кондратьевский жилмассив . Корпус 4	Кондратьевский пр., 40к4	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3825	59.969
Кондратьевский жилмассив. Корпус 7	Кондратьевский пр., 40к7	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3841	59.9691
Жилой рабочий квартал Путиловского завода	Стачек пр., 8-10, Тракторная ул., 1-3, Тракторная ул., 1-3	1925, 1927	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2766	59.8984
Жилой рабочий квартал Путиловского завода	Стачек пр., 12	1925, 1927	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2768	59.8978
Бабуринский жилмасив. Жилой дом. Корпус 2.	Смолячкова ул., 14к2	1929, 1931	Симонов Г. А., Каценеленбоген Т. Д., Жуковская В. А.	30.3436	59.972
Бабуринский жилмассив. Общежитие.	Смолячкова ул., 14к4	1929, 1931	Симонов Г. А., Каценеленбоген Т. Д., Жуковская В. А.	30.3456	59.9723
Жилой рабочий квартал Путиловского завода	Тракторная ул., 3-4	1925, 1927	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2781	59.8983
Жилой дом	Рабфаковская ул., 3к2	1932	Симонов Г. А.	30.4757	59.8573
Жилой дом	Оборонная ул., 15	1931	Симонов Г. А.	30.2668	59.8942
Жилой комплекс "Дом специалистов". Корпус №2.	Лесной пр., 61к2	1934	Симонов Г. А., Каценеленбоген Т. Д., Рубаненко Б. Р.	30.3439	59.9842
Жилой комплекс Дом специалистов. Корпус 3а	Лесной пр., 613а	1934	Симонов Г. А., Каценеленбоген Т. Д., Рубаненко Б. Р.	30.3447	59.9841
Бабуринский жилмассив. Жилой дом	Лесной пр., 34-36к3	1928	Симонов Г. А., Каценеленбоген Н. Д., Жуковская В. А.	30.3451	59.9735
Жилмассив завода "Большевик".1-я очередь. Жилой дом.	1-й Рабфаковский пер., 7	1927	Симонов Г. А., Каценеленбоген Т. Д.	30.4731	59.8577
Жилмассив завода Большевик.1-я очередь.Жилой дом	1-й Рабфаковский пер., 5	1927	Симонов Г. А., Каценеленбоген Т. Д.	30.4725	59.8573
Жилмассив завода Большевик. 1-я очередь. Жилой дом	1-й Рабфаковский пер., 9к1	1927	Симонов Г. А., Каценеленбоген Т. Д.	30.4742	59.8572
Жилмассив завода Большевик. 1-я очередь. Жилой дом	1-й Рабфаковский пер., 9к2	1927	Симонов Г. А., Каценеленбоген Т. Д.	30.4726	59.8564
Жилмассив завода Большевик. 2-я очередь. Жилой дом	1-й Рабфаковский пер., 11	1932	Симонов Г. А., Каценеленбоген Т. Д.	30.4751	59.8576
Жилмассив завода Большевик. 2-я очередь. Жилой дом	Рабфаковская ул., 3к4	1932	Симонов Г. А., Каценеленбоген Т. Д.	30.4754	59.8563
Профилакторий . Административное здание	Большой Сампсониевский пр., 98к2	1931	Симонов Г. А.	30.3323	59.9901
Жилой дом - Дом-"Колбаса"	Бабушкина ул., 61	1932	Симонов Г. А.	30.43587347221299	59.87931416578438
Жилой дом	Стачек пр., 44	1925, 1928	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2684	59.8865
Калининская пожарная часть -	Лесной пр., 17к1	1930	Симонов Г. А., Капцюг И. Г.	30.3514	59.9656
Академия железнодорожного транспорта имени т. Сталина 	Кронверкский пр., 9, Конный пер., 2, Крестьянский пер., 1	1931, 1933	Симонов Г. А., Абросимов П. В., Хряков А. Ф.	30.3228	59.9562
Общежитие транспортного института	Малая Посадская ул., 22-24, Большая Посадская ул., 7, Певческий пер., 6	1929, 1931	Симонов Г. А., Абросимов П. В.	30.3255	59.9574
Кондратьевский жилмассив . Калининский универмаг	Кондратьевский пр., 40, Полюстровский пр., 40	1933, 1936	Симонов Г. А., Тверской Л. М.	30.3853	59.9698
Кондратьевский жилмассив . Корпус 10	Кондратьевский пр., 40к10	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.385	59.9694
Кондратьевский жилмассив. Корпус 1	Кондратьевский пр., 40к1	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3841	59.9684
Кондратьевский жилмассив . Корпус 2	Кондратьевский пр., 40к2	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.383	59.9681
Кондратьевский жилмассив. Корпус 3	Кондратьевский пр., 40к3	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3831	59.969
Жилой дом Общества бывших политкаторжан . "Дом политкаторжан"	Троицкая пл., 1, Петровская наб., 2	1929, 1933	Симонов Г. А., Абросимов П. В., Хряков А. Ф.	30.3282	59.9525
Батенинский жилмассив. Квартал 37	Лесной пр., 37	1930, 1933	Каценеленбоген Т. Д., Симонов Г. А., Рубаненко Б. Р.	30.345	59.9796
Батенинский жилмассив . Квартал 39	Лесной пр., 39	1930, 1933	Каценеленбоген Т. Д., Симонов Г. А., Рубаненко Б. Р.	30.3441	59.9814
Батенинский жилмассив . Батенинские бани	Александра Матросова ул., 20, Парголовская ул., 1	1930, 1933	Каценеленбоген Т. Д., Симонов Г. А., Рубаненко Б. Р.	30.3468	59.9836
Общежитие - Здание общественного назначения	Диагональная ул., 4к2	1935	Симонов Г. А., Каценеленбоген Т. Д., Рубаненко Б. Р.	30.3465	59.9819
Кондратьевский жилмассив . Корпус 11	Кондратьевский пр., 40к11, Полюстровский пр., 40х	1929, 1931	Симонов Г. А., Капцюг И. Г., Каценеленбоген Т. Д.	30.3844	59.9703
Жилмассив "Серафимовский городок"	Стачек пр., 29-33, Белоусова ул., 3-5, Турбинная ул., 36-38	1925, 1928	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.269	59.8893
Жилмассив завода "Электросила" . Жилой дом	Решетникова ул., 17, Свеаборгская ул., 1	1929, 1930	Симонов Г. А., Русаков М. Е., Рубаненко Б. Р.	30.3319	59.8785
Жилой дом	Стачек пр., 42, Огородный пер., 1	1925, 1928	Гегелло А. И., Никольский А. С., Симонов Г. А.	30.2689	59.8867
Жилой дом с общежитием НКВД - Жилой дом	Энгельса пр., 55	1936	Симонов Г. А., Абросимов П. В., Хряков А. Ф.	30.3231	60.0162
Жилые дома	Стачек пр., 11-13	1929, 1930	Симонов Г. А.	30.274510728836034	59.89562398067567
